No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,ReefMom,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,Percent_Survival_atend,CrossType,Survival,Region_cross
37,13,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
38,14,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
39,15,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
40,16,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
41,17,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
42,18,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
43,19,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
44,20,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
45,21,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,1,NA
46,22,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,0,NA
47,23,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,B,23,21,2,91.30434783,BulkCross,0,NA
48,1,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
49,2,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
50,3,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
51,4,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
52,5,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
53,6,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
54,7,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
55,8,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
56,9,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
57,10,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
58,11,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
59,12,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
60,13,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
61,14,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
62,15,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
63,16,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
64,17,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
65,18,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
66,19,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
67,20,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
68,21,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
69,22,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,1,NA
70,23,2,17.12.20,2020,10:00,Ambient,27.5C,15,ParkeBulkxJewellBulk,ParkeBulkxJewellBulk,G.F1.1rep1,ParkeBulk,ParkeBulk,JewellBulk,G.ret,129,C,24,22,2,91.66666667,BulkCross,0,NA
