No,Rep,Timepoint,Date,Year,Time,Treatment,Temp,Cone,Culture,popcross,Family,Mom,Dad,Species,BoatID,Wells,No.LarvaeIn,No.LarvaeOut,No.LarvaeDead,CrossType,Percent_Survival_atend,Cumulative.hrs,BroadMom,BroadDad,crosstype,crosstype2,Survival
2,17,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
2,18,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
2,19,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
2,20,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
2,21,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
2,22,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
2,23,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,E,23,15,8,IndivCross,65.2173913,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,0
3,1,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,2,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,3,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,4,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,5,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,6,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,7,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,8,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,9,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,10,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,11,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,12,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,13,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,14,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
3,15,2,44539,2021,8:00,Ambient,27.5C,C94,Arlington1 x Arlington8,ArlingtonxArlington,H.F.31,Arlington1,Arlington8,A. hyacinthus larvae,133,F,23,20,3,IndivCross,86.95652174,40,Arlington,Arlington,ArlingtonxArlington,ARLxARL,1
