No,Timepoint,Tank,Temp,Treatment,Cassette,Plate.Slide,Area,Red,Green,Blue,Hue,Saturation,Brightness,SINGLE.CLUMP,Clump.IndNo,Live.Coral.ID.Number,MatchID,SamplesID,Species,Crosstype,Mom,Dad,Family,Genetic,Cone,popcross,Grey_av,Grey_light,Grey_lum,IndID
49,T6,1,HOT,SS,601,1556,1.0957,177.4081,147.422,97.1012,26.512,116.1196,177.4081,C,2,6,6,3,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,140.6437667,137.25465,150.882542,1.601.1556.6
30,T0,1,HOT,SS,601,1556,2.2997,170.7124,133.9792,95.9341,21.3009,112.7083,170.7124,C,3,7,7,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,133.5419,133.32325,140.814199,1.601.1556.7
45,T6,1,HOT,SS,601,1556,1.9839,184.7706,155.0272,109.176,25.6307,104.5691,184.7706,C,3,7,7,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,149.6579333,146.9733,158.906588,1.601.1556.7
38,T0,1,HOT,SS,601,1556,0.7205,171.8696,139.2479,99.4483,23.1084,108.2709,171.8696,S,NA,8,8,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,136.8552667,135.65895,144.656454,1.601.1556.8
42,T6,1,HOT,SS,601,1556,0.4911,183.5169,156.8636,107.0389,27.4003,106.1224,183.5169,S,NA,9,8,7,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,149.1398,145.2779,159.378873,1.601.1556.8
37,T0,1,HOT,SS,601,1556,0.9959,173.5145,139.6565,100.5427,22.568,108.3818,173.5145,S,NA,9,9,,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,137.9045667,137.0286,145.511382,1.601.1556.9
40,T6,1,HOT,SS,601,1556,0.6715,184.6965,156.4263,110.1571,26.3946,102.9164,184.6965,S,NA,10,9,5,A.ten,IndivCross,Switzer2,Davies1,Switzer2xDavies1,T.F26,C96,SWIxDAV,150.4266333,147.4268,159.817748,1.601.1556.9
52,T0,1,HOT,SS,601,1560,0.9405,121.464,96.3143,65.6979,22.9927,117.2619,121.464,S,NA,1,1,,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,94.49206667,93.58095,100.491406,1.601.1560.1
59,T6,1,HOT,SS,601,1560,0.5682,119.9404,97.3346,61.5824,25.9189,124.6255,119.9404,S,NA,1,1,4,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,92.95246667,90.7614,100.183598,1.601.1560.1
54,T0,1,HOT,SS,601,1560,2.4056,125.8457,96.1778,65.8949,21.0591,122.1353,125.8457,C,3,2,2,,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,95.9728,95.8703,101.747051,1.601.1560.2
56,T6,1,HOT,SS,601,1560,2.1971,130.6286,104.5225,68.1319,24.3823,122.3127,130.6286,C,3,2,2,2,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,101.0943333,99.38025,108.351364,1.601.1560.2
55,T0,1,HOT,SS,601,1560,0.893,137.5895,113.5839,82.6077,23.6133,102.0024,137.5895,S,NA,3,3,,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,111.2603667,110.0986,117.378198,1.601.1560.3
57,T6,1,HOT,SS,601,1560,0.5473,138.2934,115.9803,77.8539,26.5197,111.502,138.2934,S,NA,3,3,1,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,110.7092,108.07365,118.480326,1.601.1560.3
53,T0,1,HOT,SS,601,1560,0.8955,142.2557,109.6088,77.5058,20.7531,116.4081,142.2557,S,NA,4,4,,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,109.7901,109.88075,115.87154,1.601.1560.4
58,T6,1,HOT,SS,601,1560,0.7295,153.5479,132.501,96.6041,26.2907,94.2631,153.5479,S,NA,4,4,3,A.ten,IndivCross,Jewell6,PAL4,Jewell6xPAL4,T.F43,C39,JEWxPAL,127.551,125.076,134.866411,1.601.1560.4
62,T0,1,HOT,SS,601,2797,1.6188,134.4731,100.9206,65.2856,21.5814,131.9918,134.4731,C,2,1,1,,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,100.2264333,99.87935,107.0665,1.601.2797.1
69,T6,1,HOT,SS,601,2797,1.5922,141.9109,113.2013,67.1929,26.0226,136.7623,141.9168,C,2,1,1,4,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,107.4350333,104.5519,116.753256,1.601.2797.1
64,T0,1,HOT,SS,601,2797,3.5369,152.4852,121.8137,86.6318,22.3376,110.5972,152.4852,C,5,2,2,,A.ten,IndivCross,Switzer4,Switzer7,Switzer4xSwitzer7,T.F12,C69,SWIxSWI,120.3102333,119.5585,127.145141,1.601.2797.2
